Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Bachelor,3-5 years,HR Management,"Excel, Team Management, Customer Support, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Salesforce, Excel, Team Management","Salesforce, Excel"
Master,0-1 years,"Accounting, Market Research, Operations","Team Management, Salesforce, Communication, Accounting, Excel","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Market Research, Salesforce, Accounting, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,5+ years,"Operations, Market Research, HR Management","Accounting, Excel, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","HR Management, Market Research, Excel, Accounting, Operations, Team Management",Excel
PhD,1-3 years,"Customer Service, HR Management, Sales Strategy","Accounting, Communication, Team Management, Salesforce, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Customer Service, HR Management, Salesforce, Accounting, Communication, Team Management",Salesforce
PhD,1-3 years,"Market Research, HR Management","Salesforce, Team Management, Accounting, Communication, Excel","Salesforce Certified, Excel Advanced",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","HR Management, Market Research, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Master,5+ years,"Market Research, Sales Strategy, Customer Service","Customer Support, Communication, Team Management, Excel",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Sales Strategy, Customer Service, Market Research, Excel, Communication, Team Management",Excel
PhD,0-1 years,"Sales Strategy, Market Research","Team Management, Excel, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Market Research, Excel, Team Management",Excel
PhD,3-5 years,Accounting,"Team Management, Accounting, Salesforce, Communication, Excel","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
PhD,5+ years,"Customer Service, Sales Strategy","Team Management, Excel, Salesforce, Accounting, Communication",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Sales Strategy, Customer Service, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Master,1-3 years,Market Research,"Communication, Excel, Accounting, Customer Support, Salesforce",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Market Research, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
PhD,1-3 years,"Customer Service, HR Management, Sales Strategy","Accounting, Team Management, Customer Support, Salesforce, Excel",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Sales Strategy, Customer Service, HR Management, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Master,0-1 years,Market Research,"Excel, Salesforce, Customer Support, Team Management, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Master,0-1 years,Customer Service,"Communication, Team Management, Customer Support, Accounting, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Accounting, Excel, Communication, Team Management",Excel
Bachelor,3-5 years,Customer Service,"Salesforce, Communication, Excel","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Salesforce, Customer Service, Excel, Communication","Salesforce, Excel"
PhD,0-1 years,Market Research,"Excel, Team Management, Salesforce",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Salesforce, Excel, Team Management, Market Research","Salesforce, Excel"
Master,0-1 years,HR Management,"Team Management, Accounting, Salesforce","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Salesforce, Accounting, Team Management, HR Management",Salesforce
PhD,5+ years,"Accounting, Sales Strategy, HR Management","Customer Support, Communication, Team Management, Excel","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Accounting, Excel, Communication, Team Management",Excel
PhD,0-1 years,"Accounting, HR Management","Customer Support, Salesforce, Communication, Excel, Team Management","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
PhD,3-5 years,"Sales Strategy, Operations, Accounting","Customer Support, Accounting, Communication, Salesforce, Team Management",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Sales Strategy, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
Bachelor,1-3 years,Sales Strategy,"Customer Support, Salesforce, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Sales Strategy, Accounting",Salesforce
PhD,3-5 years,"Accounting, Market Research, Sales Strategy","Accounting, Excel, Communication, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Sales Strategy, Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
PhD,3-5 years,Accounting,"Communication, Salesforce, Customer Support, Accounting",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Accounting, Communication",Salesforce
Bachelor,1-3 years,"HR Management, Accounting, Operations","Accounting, Communication, Salesforce, Excel",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"HR Management, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
PhD,3-5 years,"Market Research, Operations","Excel, Communication, Customer Support, Accounting, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
PhD,1-3 years,"Operations, Sales Strategy, Market Research","Excel, Communication, Customer Support, Salesforce, Team Management",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Market Research, Sales Strategy, HR Management","Customer Support, Excel, Communication, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Market Research, Excel, Accounting, Communication",Excel
Master,1-3 years,"HR Management, Accounting, Market Research","Team Management, Accounting, Customer Support, Communication","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, HR Management, Accounting, Communication, Team Management",
PhD,5+ years,"Sales Strategy, Operations","Customer Support, Communication, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Excel, Communication, Operations",Excel
Master,5+ years,Accounting,"Customer Support, Excel, Salesforce",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Excel, Accounting, Salesforce","Excel, Salesforce"
Master,1-3 years,"Accounting, HR Management","Customer Support, Team Management, Salesforce, Excel","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Master,3-5 years,"Operations, Sales Strategy","Communication, Accounting, Salesforce, Excel, Customer Support",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
Bachelor,5+ years,Market Research,"Team Management, Accounting, Excel","Excel Advanced, Customer Service Expert",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","Excel, Accounting, Team Management, Market Research",Excel
PhD,5+ years,"Operations, Market Research, Accounting","Communication, Excel, Team Management, Accounting, Salesforce","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Market Research, Salesforce, Excel, Accounting, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,1-3 years,Accounting,"Team Management, Communication, Accounting",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Accounting, Team Management, Communication",
Bachelor,3-5 years,HR Management,"Salesforce, Communication, Team Management, Customer Support, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,5+ years,"HR Management, Accounting","Excel, Communication, Salesforce",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,1-3 years,"Operations, Sales Strategy, Accounting","Communication, Excel, Salesforce, Accounting, Team Management","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Sales Strategy, Salesforce, Excel, Accounting, Communication, Operations, Team Management","Salesforce, Excel"
Master,3-5 years,Sales Strategy,"Customer Support, Accounting, Excel",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Excel, Sales Strategy, Accounting",Excel
PhD,5+ years,"HR Management, Accounting","Salesforce, Excel, Customer Support, Communication, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
